Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,1D,Y/A,Y/C,Y/G,Rate,QBR,Sk
1,Deshaun Watson*,HOU,25,QB,16,16,382,544,70.2,4823,33,7,221,8.9,12.6,301.4,112.4,70.5,49
2,Patrick Mahomes*,KAN,25,QB,15,15,390,588,66.3,4740,38,6,238,8.1,12.2,316.0,108.2,82.9,22
3,Tom Brady,TAM,43,QB,16,16,401,610,65.7,4633,40,12,233,7.6,11.6,289.6,102.2,72.5,21
4,Matt Ryan,ATL,35,QB,16,16,407,626,65.0,4581,26,11,242,7.3,11.3,286.3,93.3,67.0,41
5,Josh Allen*,BUF,24,QB,16,16,396,572,69.2,4544,37,10,228,7.9,11.5,284.0,107.2,81.7,26
6,Justin Herbert,LAC,22,QB,15,15,396,595,66.6,4336,31,10,216,7.3,10.9,289.1,98.3,69.5,32
7,Aaron Rodgers*+,GNB,37,QB,16,16,372,526,70.7,4299,48,5,216,8.2,11.6,268.7,121.5,84.4,20
8,Kirk Cousins,MIN,32,QB,16,16,349,516,67.6,4265,35,13,212,8.3,12.2,266.6,105.0,63.2,39
9,Russell Wilson*,SEA,32,QB,16,16,384,558,68.8,4212,40,13,213,7.5,11.0,263.3,105.1,73.5,47
10,Philip Rivers,IND,39,QB,16,16,369,543,68.0,4169,24,11,200,7.7,11.3,260.6,97.0,62.5,19
11,Derek Carr,LVR,29,QB,16,16,348,517,67.3,4103,27,9,193,7.9,11.8,256.4,101.4,71.0,26
12,Matthew Stafford,DET,32,QB,16,16,339,528,64.2,4084,26,10,205,7.7,12.0,255.3,96.3,68.4,38
13,Kyler Murray*,ARI,23,QB,16,16,375,558,67.2,3971,26,12,205,7.1,10.6,248.2,94.3,68.9,27
14,Jared Goff,LAR,26,QB,15,15,370,552,67.0,3952,20,13,188,7.2,10.7,263.5,90.0,58.5,23
15,Ryan Tannehill,TEN,32,QB,16,16,315,481,65.5,3819,33,7,202,7.9,12.1,238.7,106.5,78.3,24
16,Ben Roethlisberger,PIT,38,QB,15,15,399,608,65.6,3803,33,10,193,6.3,9.5,253.5,94.1,60.1,13
17,Teddy Bridgewater,CAR,28,QB,15,15,340,492,69.1,3733,15,11,174,7.6,11.0,248.9,92.1,64.2,31
18,Baker Mayfield,CLE,25,QB,16,16,305,486,62.8,3563,26,8,188,7.3,11.7,222.7,95.9,72.2,26
19,Daniel Jones,NYG,23,QB,14,14,280,448,62.5,2943,11,10,148,6.6,10.5,210.2,80.4,61.5,45
20,Drew Brees,NOR,41,QB,12,12,275,390,70.5,2942,24,6,149,7.5,10.7,245.2,106.4,74.6,13
21,Drew Lock,DEN,24,QB,13,13,254,443,57.3,2933,16,15,145,6.6,11.5,225.6,75.4,48.8,19
