,,,,,,,,,,Passing,,,,,,,,,,,Rushing,,,,Scoring,,Fumbles,,,,,
Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD
1,9/9/2007,1,1,30.037,NWE,@,NYJ,W 38-14,*,22,28,78.57,297,3,0,146.6,0,0,10.61,12.75,1,4,4,0,0,0,0,,0,0,0,0
2,9/16/2007,2,2,30.044,NWE,,SDG,W 38-14,*,25,31,80.65,279,3,1,123,2,16,9,9.48,1,2,2,0,0,0,1,0,0,1,0,0
3,9/23/2007,3,3,30.051,NWE,,BUF,W 38-7,*,23,29,79.31,311,4,0,150.9,1,3,10.72,13.48,1,2,2,0,0,0,1,1,0,0,0,0
4,10/1/2007,4,4,30.059,NWE,@,CIN,W 34-13,*,25,32,78.13,231,3,1,115,0,0,7.22,7.69,2,-2,-1,0,0,0,0,,0,0,0,0
5,10/7/2007,5,5,30.065,NWE,,CLE,W 34-17,*,22,38,57.89,265,3,0,105.7,0,0,6.97,8.55,0,0,,0,0,0,0,,0,0,0,0
6,10/14/2007,6,6,30.072,NWE,@,DAL,W 48-27,*,31,46,67.39,388,5,0,129.6,3,15,8.43,10.61,3,5,1.67,0,0,0,1,1,0,0,0,0
7,10/21/2007,7,7,30.079,NWE,@,MIA,W 49-28,*,21,25,84,354,6,0,158.3,1,10,14.16,18.96,0,0,,0,0,0,0,,0,0,0,0
8,10/28/2007,8,8,30.086,NWE,,WAS,W 52-7,*,29,38,76.32,306,3,0,125.5,1,0,8.05,9.63,4,14,3.5,2,2,12,1,1,0,0,0,0
9,11/4/2007,9,9,30.093,NWE,@,IND,W 24-20,*,21,32,65.63,255,3,2,95.2,2,18,7.97,7.03,5,14,2.8,0,0,0,0,,0,0,0,0
10,11/18/2007,10,11,30.107,NWE,@,BUF,W 56-10,*,31,39,79.49,373,5,0,146.1,0,0,9.56,12.13,2,9,4.5,0,0,0,0,,0,0,0,0
11,11/25/2007,11,12,30.114,NWE,,PHI,W 31-28,*,34,54,62.96,380,1,0,90,3,18,7.04,7.41,3,16,5.33,0,0,0,0,,0,0,0,0
12,12/3/2007,12,13,30.122,NWE,@,BAL,W 27-24,*,18,38,47.37,257,2,1,76.3,3,21,6.76,6.63,2,14,7,0,0,0,0,,0,0,0,0
13,12/9/2007,13,14,30.128,NWE,,PIT,W 34-13,*,32,46,69.57,399,4,0,125.2,0,0,8.67,10.41,1,4,4,0,0,0,1,0,0,0,0,0
14,12/16/2007,14,15,30.135,NWE,,NYJ,W 20-10,*,14,27,51.85,140,0,1,51.5,1,6,5.19,3.52,4,9,2.25,0,0,0,0,,0,0,0,0
15,12/23/2007,15,16,30.142,NWE,,MIA,W 28-7,*,18,33,54.55,215,3,2,79.7,3,11,6.52,5.61,4,11,2.75,0,0,0,1,1,0,0,0,0
16,12/29/2007,16,17,30.148,NWE,@,NYG,W 38-35,*,32,42,76.19,356,2,0,116.8,1,10,8.48,9.43,4,-4,-1,0,0,0,0,,0,0,0,0
,16 Games,,,,,,,16-0-0,,398,578,68.86,4806,50,8,117.2,21,128,8.31,9.42,37,98,2.65,2,2,12,6,4,0,1,0,0
